,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Brimstone,7.6,38.9,9.1,2.2
1,Phoenix,16.1,9.8,4.1,3.9
2,Sage,12.8,8.7,12.3,1.9
3,Reyna,5.9,5.3,15.6,1.6
4,Deadlock,24.4,13.1,9.5,2.9
5,Viper,10.8,18.3,12.3,1.6
6,Gekko,9.4,19,6.8,3.4
7,Cypher,23.5,16.3,29.9,2.8
8,Sova,13.5,24.5,9.1,2
9,Astra,3.3,31.1,5.4,1.9
10,Jett,5.3,21,10.9,2.2
11,Fade,6.7,22.9,18.9,2.4
12,Skye,9.9,24.8,3.7,2.6
13,Killjoy,13.5,7.1,22.4,2
14,Raze,18,17.1,9.5,2.6
15,Chamber,4.3,10,15.4,2.3
16,Omen,9.9,37.7,7.8,1.8
17,Breach,18.1,20.6,8.4,2
18,Neon,15.4,19.6,6.1,2.2
19,Yoru,15.5,25.5,12.4,3.1
20,Harbor,6,16.7,16.7,2.9
21,Iso,13.2,20.4,6.1,3.3
22,KAY/O,14.4,24,8,2.3
