,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.97,14.5,14.9,8.9,50.7%,3.5%,204,"437,730"
1,Phoenix,1.1,17.1,15.6,4.5,50.6%,2.4%,238,"300,532"
2,Sage,0.93,14,15,6.9,50.6%,5.0%,193,"624,226"
3,Deadlock,1.02,15.2,15,4.1,50.1%,1.1%,205,"138,488"
4,Reyna,1.13,17.7,15.7,4.2,49.9%,11.1%,242,"1,377,651"
5,Sova,0.98,14.5,14.7,5.4,49.8%,6.4%,200,"794,608"
6,Gekko,0.93,14,15.1,5,49.8%,2.9%,191,"354,850"
7,Viper,1,14.7,14.8,5.1,49.7%,4.9%,202,"610,972"
8,Fade,0.96,14.4,15,6.3,49.6%,1.6%,198,"193,037"
9,Cypher,1,14.6,14.6,4.6,49.6%,8.4%,197,"1,038,473"
10,Jett,1.08,17.3,16,3.4,49.3%,12.7%,238,"1,578,179"
11,Astra,1.03,15.3,14.8,6.6,49.2%,1.5%,207,"188,356"
12,Raze,1.03,16.6,16.1,4.4,49.1%,6.9%,235,"848,853"
13,Killjoy,1,14.6,14.5,3.4,49.0%,3.7%,199,"462,239"
14,Skye,0.95,14.3,15.1,7.2,49.0%,5.0%,197,"617,859"
15,Omen,0.98,14.8,15.1,7.1,48.7%,9.3%,202,"1,150,161"
16,Chamber,1.09,16.4,15,2.9,48.6%,5.1%,220,"625,281"
17,Breach,0.93,14.3,15.4,6.9,47.9%,2.1%,198,"253,839"
18,Yoru,1.02,16.1,15.8,4.2,47.2%,1.4%,221,"178,130"
19,Neon,0.97,16,16.5,4.2,47.2%,0.9%,223,"114,488"
20,Harbor,0.92,14,15.3,5.8,46.1%,0.5%,192,"64,649"
21,Iso,1.01,16.4,16.2,4,45.3%,1.2%,228,"150,550"
22,KAY/O,0.91,14.2,15.6,8.9,45.0%,2.2%,201,"275,321"
