,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.12,17.3,15.4,4.8,51.4%,3.8%,244,"123,613"
1,Brimstone,0.96,14.3,14.9,9.2,51.4%,4.5%,206,"146,759"
2,Sova,1.02,14.7,14.4,5.7,50.4%,8.4%,207,"271,136"
3,Cypher,1.01,14.4,14.3,5,50.1%,5.8%,197,"186,252"
4,Astra,1.03,15.1,14.7,6.9,50.1%,1.3%,208,"42,710"
5,Reyna,1.13,17.6,15.6,4.5,50.0%,11.9%,245,"385,992"
6,Sage,0.92,13.6,14.8,7,49.9%,6.2%,190,"199,230"
7,Jett,1.09,17.3,15.8,3.6,49.3%,11.7%,240,"377,903"
8,Killjoy,1,14.2,14.3,3.6,49.2%,8.3%,198,"269,234"
9,Deadlock,1,14.8,14.8,4.2,49.1%,1.1%,202,"36,630"
10,Omen,0.98,14.7,15,7.2,48.9%,12.2%,204,"393,436"
11,Fade,0.94,14.1,15,6.3,48.9%,1.5%,197,"47,055"
12,Chamber,1.09,16.3,15,3.2,48.8%,3.0%,222,"97,831"
13,Raze,1.02,16.2,15.9,4.7,48.6%,5.0%,233,"162,728"
14,Breach,0.94,14.4,15.4,6.5,48.4%,1.7%,202,"56,269"
15,Skye,0.93,14.1,15.1,7.3,48.3%,3.3%,197,"106,560"
16,Gekko,0.91,13.7,15.1,5,48.1%,1.9%,190,"61,431"
17,Viper,0.98,14.4,14.7,5.5,48.1%,1.0%,202,"32,132"
18,Neon,0.97,15.7,16.3,4.2,47.0%,1.2%,222,"38,166"
19,Yoru,1.01,15.8,15.6,4.2,46.4%,1.4%,219,"43,761"
20,Iso,1,16.1,16.1,4.2,46.0%,1.4%,227,"46,918"
21,KAY/O,0.91,14,15.4,8.7,45.6%,3.2%,200,"102,777"
22,Harbor,0.91,14,15.3,6,44.9%,0.3%,195,"8,386"
