,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Brimstone,0.91,13.2,14.5,6.7,50.6%,5.9%,194,"121,965"
1,Killjoy,0.9,12.7,14.1,3.9,50.2%,3.6%,186,"75,470"
2,Cypher,0.93,13,14,4.8,50.1%,7.6%,184,"158,032"
3,Gekko,0.84,12.5,14.9,4.7,49.8%,4.8%,179,"99,548"
4,Reyna,1.08,16.2,15,4.4,49.8%,11.1%,233,"229,730"
5,Sage,0.83,12.1,14.6,6.3,49.7%,10.6%,175,"220,874"
6,Astra,0.95,13.5,14.3,5,49.4%,0.7%,193,"14,179"
7,Deadlock,0.9,13.2,14.7,4.2,49.4%,1.9%,188,"40,061"
8,Skye,0.85,12.5,14.8,6.6,49.2%,6.0%,182,"125,305"
9,Raze,0.96,14.7,15.3,4.6,49.2%,6.6%,218,"136,367"
10,Phoenix,1,14.9,14.9,4.3,48.9%,3.8%,216,"78,057"
11,Breach,0.87,13.2,15.1,5.2,48.9%,1.7%,190,"35,654"
12,Omen,0.92,13.6,14.8,5,48.6%,8.2%,194,"170,066"
13,Fade,0.84,12.4,14.9,6,48.6%,2.8%,181,"58,632"
14,Jett,1,15.2,15.2,3.7,48.4%,5.0%,218,"103,585"
15,Sova,0.88,12.8,14.6,4.9,48.4%,3.3%,187,"67,552"
16,Chamber,0.99,14.2,14.4,3.4,48.4%,2.7%,201,"56,952"
17,Viper,0.89,13,14.6,4.8,48.2%,2.7%,189,"55,488"
18,Neon,0.93,14.5,15.6,4.1,47.8%,2.8%,209,"57,757"
19,KAY/O,0.81,12.4,15.2,7.5,46.3%,2.1%,184,"43,380"
20,Harbor,0.83,12.4,15,5.2,46.3%,0.7%,180,"15,519"
21,Yoru,0.92,13.9,15.2,4,46.2%,3.3%,200,"67,657"
22,Iso,0.92,14.4,15.6,4.1,46.1%,2.0%,210,"42,131"
