,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Deadlock,1.09,16.1,14.8,3.2,56.6%,0.3%,212,325
1,Gekko,0.95,14.2,15,4.6,54.6%,0.6%,191,754
2,Reyna,1.12,17.5,15.7,3.9,51.4%,14.7%,237,"17,334"
3,Cypher,1.03,15.1,14.7,4,51.1%,14.1%,199,"16,600"
4,Jett,1.09,17.5,16,3,50.3%,20.8%,235,"24,419"
5,Phoenix,1.11,16.9,15.3,3.9,50.3%,0.6%,232,746
6,Viper,1,14.8,14.7,5,50.2%,18.2%,199,"21,427"
7,Sova,0.98,14.4,14.8,5.3,50.1%,16.9%,196,"19,914"
8,Breach,0.95,14.5,15.3,7.6,50.0%,0.0%,190,8
9,Yoru,1.03,16.3,15.8,3.9,50.0%,2.5%,219,"2,950"
10,Sage,0.96,14.5,15,5.7,49.6%,0.4%,198,464
11,Raze,1.01,16.2,16.1,3.6,49.5%,0.4%,222,527
12,Skye,0.95,14.6,15.3,6.1,48.4%,0.8%,200,902
13,Harbor,0.89,13.3,15,5,48.4%,0.4%,184,446
14,Chamber,1.11,16.9,15.2,2.5,47.9%,5.2%,222,"6,140"
15,Neon,0.97,16.1,16.6,3.9,47.3%,0.8%,221,891
16,Brimstone,0.94,14.1,15,6.2,47.2%,0.1%,193,72
17,Omen,0.97,15.4,15.9,4.9,44.9%,0.2%,208,196
18,Iso,1.02,16.7,16.4,3.4,44.4%,0.6%,227,719
19,KAY/O,0.91,14.2,15.7,8.7,43.8%,2.3%,197,"2,645"
20,Fade,0.9,13.6,15,4.9,29.7%,0.0%,192,37
21,Astra,1.11,16.3,14.7,4.2,27.8%,0.0%,221,18
