,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Sage,0.96,14.4,15.1,6.8,52.1%,4.7%,195,"20,348"
1,Brimstone,0.94,14.4,15.3,7.8,51.6%,0.3%,197,"1,212"
2,Gekko,0.96,14.6,15.2,4.8,50.6%,1.3%,194,"5,674"
3,Reyna,1.11,17.9,16.1,3.9,50.4%,14.3%,241,"61,536"
4,Killjoy,1.05,15.3,14.6,2.9,50.3%,6.4%,203,"27,323"
5,Viper,1.02,15.2,14.9,5.4,50.2%,17.0%,204,"73,111"
6,Sova,0.98,14.6,14.9,5.2,50.0%,15.5%,198,"66,654"
7,Phoenix,1.08,16.9,15.7,4,49.9%,0.8%,231,"3,409"
8,Deadlock,1.04,15.8,15.2,3.9,49.7%,1.1%,208,"4,769"
9,Jett,1.09,17.8,16.4,3.3,49.7%,18.8%,242,"80,514"
10,Skye,0.96,14.8,15.4,6.9,49.6%,0.7%,201,"2,888"
11,Fade,0.94,14.5,15.4,6.1,48.7%,0.4%,197,"1,645"
12,Chamber,1.09,16.6,15.2,2.5,48.2%,7.6%,218,"32,579"
13,Cypher,1,14.9,14.9,4.1,48.1%,1.3%,197,"5,582"
14,Astra,1.06,16.1,15.3,5.2,48.0%,0.1%,212,564
15,Raze,1,16.4,16.4,4,47.9%,4.0%,229,"16,973"
16,Yoru,0.99,15.9,16.1,4,47.6%,1.1%,215,"4,860"
17,Neon,0.97,16.3,16.9,4.1,47.6%,0.7%,226,"2,885"
18,Omen,0.96,15.1,15.7,5.5,47.0%,1.1%,204,"4,889"
19,Breach,0.93,14.7,15.8,6.7,46.4%,0.2%,199,932
20,Harbor,0.93,14.4,15.5,6.2,46.2%,0.6%,192,"2,595"
21,Iso,1.03,16.8,16.4,3.8,45.5%,0.7%,232,"2,835"
22,KAY/O,0.94,14.8,15.8,9.5,45.0%,1.2%,206,"5,106"
