,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Phoenix,1.11,17.2,15.4,4.6,51.1%,2.4%,238,"52,443"
1,Deadlock,1.02,15.1,14.9,4.2,50.9%,1.6%,203,"34,865"
2,Brimstone,0.96,14.4,14.9,8.9,50.8%,2.9%,204,"62,252"
3,Sage,0.92,13.7,14.9,6.9,50.4%,4.6%,191,"98,817"
4,Gekko,0.93,14,15,5.2,50.2%,5.3%,190,"114,702"
5,Reyna,1.14,17.8,15.6,4.3,50.2%,11.2%,245,"241,455"
6,Astra,1.03,15.2,14.7,6.3,49.9%,2.0%,206,"43,500"
7,Killjoy,1.01,14.5,14.4,3.4,49.7%,5.2%,200,"112,504"
8,Raze,1.04,16.6,15.9,4.4,49.6%,9.3%,237,"200,087"
9,Jett,1.09,17.4,15.9,3.4,49.6%,10.3%,239,"221,692"
10,Chamber,1.11,16.6,14.9,3.1,49.6%,6.5%,224,"140,122"
11,Viper,1.01,15,14.8,5.6,49.4%,1.2%,208,"24,929"
12,Fade,0.95,14.3,15,6.6,49.4%,2.3%,196,"49,736"
13,Skye,0.94,14.2,15.1,7.6,49.3%,5.3%,196,"115,138"
14,Cypher,1.01,14.6,14.5,4.7,49.3%,4.8%,198,"104,102"
15,Omen,0.98,14.8,15.1,6.8,49.1%,12.7%,202,"272,615"
16,Breach,0.94,14.4,15.3,7,48.8%,4.6%,198,"98,757"
17,Sova,0.98,14.6,14.9,5.5,48.1%,1.6%,204,"33,795"
18,Yoru,1.03,16.1,15.7,4.3,47.6%,1.3%,222,"28,775"
19,Neon,0.97,16,16.4,4.3,47.5%,1.2%,224,"26,755"
20,Iso,1.02,16.5,16.1,4.2,46.0%,1.5%,230,"31,906"
21,Harbor,0.93,14.3,15.3,6.3,46.0%,0.7%,195,"14,715"
22,KAY/O,0.9,14.1,15.6,9.3,45.3%,1.3%,201,"29,042"
