,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,Num Matches
0,Astra,1,14.2,14.3,5.4,50.5%,1.0%,202,"27,303"
1,Cypher,0.97,13.7,14.2,5.2,50.5%,10.1%,194,"288,220"
2,Reyna,1.13,16.9,15,4.4,50.3%,11.7%,243,"336,094"
3,Brimstone,0.93,13.6,14.7,7,50.3%,4.3%,199,"122,017"
4,Sage,0.87,12.6,14.5,6.6,50.2%,10.1%,182,"288,752"
5,Gekko,0.88,13,14.8,4.9,50.0%,5.0%,186,"144,532"
6,Phoenix,1.04,15.6,14.9,4.5,49.7%,3.9%,226,"110,803"
7,Deadlock,0.95,13.9,14.6,4.2,49.5%,1.8%,196,"52,040"
8,Jett,1.05,16,15.3,3.8,49.5%,5.8%,229,"165,033"
9,Omen,0.95,14.1,14.8,5.5,49.3%,9.8%,200,"281,238"
10,Raze,0.98,15,15.4,4.6,49.1%,5.5%,223,"156,652"
11,Skye,0.88,13,14.7,7.2,49.1%,5.2%,189,"148,991"
12,Fade,0.87,13,14.8,6,49.0%,2.6%,187,"73,321"
13,Breach,0.9,13.6,15.1,5.6,48.9%,1.9%,196,"55,684"
14,Killjoy,0.93,13.3,14.2,3.9,48.8%,2.5%,193,"72,444"
15,Sova,0.9,13.1,14.6,5,48.7%,3.4%,191,"96,070"
16,Neon,0.96,15.2,15.8,4.3,48.3%,2.7%,220,"76,737"
17,Viper,0.92,13.5,14.6,5,48.1%,2.1%,196,"60,032"
18,Chamber,1.02,15,14.6,3.6,47.9%,2.4%,211,"70,062"
19,Iso,0.96,15.1,15.7,4.3,47.0%,2.3%,220,"67,341"
20,Harbor,0.86,12.9,15,5.4,46.9%,1.1%,186,"30,343"
21,Yoru,0.94,14.4,15.3,4.3,46.4%,2.5%,206,"70,617"
22,KAY/O,0.85,12.9,15.2,7.9,46.1%,2.5%,191,"71,328"
