,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.4%,82.1%,4.5%,133.1
1,Operator,0.9,10.0%,85.9%,4.1%,129.7
2,Vandal,0.8,19.2%,73.8%,7.0%,123.7
3,Guardian,0.7,21.4%,73.5%,5.2%,117.5
4,Phantom,0.8,16.2%,75.3%,8.6%,115.4
5,Odin,0.9,9.2%,72.2%,18.5%,106.8
6,Marshal,0.5,23.5%,72.5%,4.0%,99.2
7,Bulldog,0.7,15.3%,76.1%,8.6%,94.9
8,Sheriff,0.5,24.8%,70.8%,4.4%,92
9,Ares,0.6,11.0%,72.9%,16.2%,89.5
10,Spectre,0.7,12.6%,76.2%,11.1%,86.4
11,Judge,0.6,12.2%,74.3%,13.5%,84.6
12,Stinger,0.6,15.6%,75.1%,9.4%,80.6
13,Ghost,0.8,20.6%,73.4%,6.0%,78.8
14,Bucky,0.5,14.5%,76.2%,9.4%,74.1
15,Classic,0.4,17.5%,75.2%,7.3%,65.5
16,Frenzy,0.6,15.9%,74.5%,9.6%,63.5
17,Shorty,0.5,14.5%,74.6%,10.9%,63.3
