,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,1,11.2%,84.0%,4.8%,138.1
1,Outlaw,1,10.3%,86.7%,3.1%,128.1
2,Vandal,0.8,32.0%,63.0%,5.0%,125.6
3,Guardian,0.7,34.3%,61.4%,4.3%,118.6
4,Phantom,0.8,27.2%,66.8%,6.0%,116
5,Sheriff,0.6,35.1%,61.8%,3.1%,102.7
6,Odin,0.8,14.4%,69.6%,16.0%,96.2
7,Marshal,0.6,27.0%,69.9%,3.2%,94.3
8,Bulldog,0.8,29.0%,65.9%,5.1%,90.6
9,Judge,0.7,12.5%,75.1%,12.4%,87.4
10,Shorty,0.9,16.6%,74.6%,8.8%,86.3
11,Stinger,0.6,18.4%,73.8%,7.7%,80.1
12,Bucky,0.6,14.4%,78.4%,7.2%,77.9
13,Ares,0.6,15.7%,70.2%,14.1%,77.4
14,Ghost,0.8,34.5%,62.0%,3.5%,76.9
15,Spectre,0.7,20.7%,72.6%,6.7%,76.5
16,Classic,0.5,30.1%,65.5%,4.4%,72.3
17,Frenzy,0.6,22.6%,70.8%,6.6%,60.6
