,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,13.3%,82.4%,4.3%,131.1
1,Operator,0.9,9.8%,86.2%,4.0%,129.6
2,Vandal,0.8,20.3%,73.2%,6.4%,124.2
3,Guardian,0.7,22.9%,72.4%,4.7%,116.4
4,Phantom,0.8,17.3%,74.9%,7.8%,116.2
5,Odin,0.9,9.4%,73.2%,17.4%,107.1
6,Marshal,0.5,23.3%,72.8%,3.9%,96.8
7,Bulldog,0.7,16.3%,75.8%,7.9%,94.4
8,Sheriff,0.5,26.5%,69.5%,4.0%,92.7
9,Judge,0.7,12.7%,75.3%,12.1%,88.8
10,Ares,0.6,11.2%,73.6%,15.1%,88.8
11,Spectre,0.7,13.7%,76.5%,9.8%,86.7
12,Stinger,0.6,16.2%,75.6%,8.2%,82
13,Ghost,0.8,22.5%,72.4%,5.1%,79.6
14,Bucky,0.5,14.9%,76.9%,8.1%,78.2
15,Classic,0.4,19.0%,74.7%,6.3%,66.6
16,Shorty,0.5,14.7%,75.7%,9.6%,65.7
17,Frenzy,0.6,17.1%,74.6%,8.3%,64.5
