,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.5,12.9%,78.7%,8.4%,130.1
1,Operator,0.7,10.9%,82.2%,6.9%,115.8
2,Guardian,0.6,11.2%,73.6%,15.1%,114.1
3,Vandal,0.7,12.7%,71.2%,16.2%,113.2
4,Phantom,0.6,10.9%,70.2%,18.9%,104.9
5,Odin,0.7,8.1%,64.1%,27.8%,99.3
6,Marshal,0.3,19.0%,73.1%,7.8%,93.2
7,Bulldog,0.5,10.2%,72.1%,17.8%,92.5
8,Ares,0.6,9.4%,66.8%,23.8%,88.7
9,Sheriff,0.5,18.5%,70.7%,10.9%,85.5
10,Spectre,0.5,10.2%,71.0%,18.8%,82.2
11,Judge,0.5,9.3%,68.5%,22.2%,73.8
12,Ghost,0.6,12.0%,73.3%,14.7%,72.6
13,Bucky,0.4,10.4%,71.2%,18.4%,63.9
14,Stinger,0.4,12.6%,68.6%,18.8%,63.6
15,Frenzy,0.5,12.6%,71.0%,16.4%,57.6
16,Classic,0.4,11.1%,73.5%,15.4%,56.7
17,Shorty,0.4,11.8%,69.7%,18.5%,48.6
