,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,14.0%,81.6%,4.4%,131.8
1,Operator,0.9,10.8%,85.2%,4.1%,130.1
2,Vandal,0.8,20.9%,72.5%,6.6%,123.6
3,Guardian,0.7,23.5%,71.9%,4.6%,117.5
4,Phantom,0.8,17.8%,74.2%,8.0%,114.8
5,Odin,0.9,10.1%,72.8%,17.2%,106.3
6,Marshal,0.5,24.5%,71.8%,3.6%,98.8
7,Bulldog,0.7,17.0%,75.0%,8.0%,93.8
8,Sheriff,0.5,25.9%,70.0%,4.0%,92.8
9,Ares,0.6,12.0%,72.6%,15.4%,87.5
10,Spectre,0.7,13.8%,75.6%,10.6%,84.4
11,Judge,0.6,12.8%,73.8%,13.5%,82.1
12,Stinger,0.6,16.1%,74.7%,9.2%,79.7
13,Ghost,0.8,22.0%,72.4%,5.6%,78.2
14,Bucky,0.5,15.1%,75.6%,9.3%,72.4
15,Classic,0.4,19.2%,74.1%,6.7%,65.9
16,Shorty,0.5,15.2%,74.2%,10.6%,64.7
17,Frenzy,0.5,17.1%,73.7%,9.2%,63.1
