,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.8,10.8%,85.0%,4.2%,132.4
1,Vandal,0.8,27.0%,68.0%,5.0%,126
2,Outlaw,0.7,14.6%,81.5%,3.9%,123.8
3,Phantom,0.8,23.2%,70.8%,6.0%,117.3
4,Guardian,0.7,31.3%,64.8%,3.9%,114.6
5,Odin,0.8,11.4%,73.0%,15.5%,99.3
6,Sheriff,0.5,32.3%,64.6%,3.1%,98.1
7,Marshal,0.5,27.3%,69.2%,3.5%,95.5
8,Bulldog,0.7,23.5%,70.8%,5.7%,91.7
9,Judge,0.6,12.3%,75.0%,12.6%,85
10,Spectre,0.8,17.9%,74.3%,7.7%,81.3
11,Stinger,0.5,18.1%,74.8%,7.1%,80.4
12,Ares,0.6,14.9%,72.8%,12.2%,79.3
13,Ghost,0.8,29.8%,66.5%,3.7%,78
14,Bucky,0.5,14.8%,77.2%,8.1%,75.6
15,Shorty,0.6,15.2%,75.5%,9.2%,72.6
16,Classic,0.4,25.0%,70.3%,4.7%,68.2
17,Frenzy,0.6,20.5%,72.6%,6.8%,63.4
