,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Outlaw,0.6,12.6%,82.4%,5.1%,127.3
1,Operator,0.9,9.4%,85.9%,4.7%,127.2
2,Vandal,0.9,19.0%,73.8%,7.2%,123.7
3,Phantom,0.8,16.2%,75.1%,8.7%,116.5
4,Guardian,0.7,21.9%,72.7%,5.3%,115.2
5,Odin,0.9,9.2%,72.7%,18.1%,107.7
6,Bulldog,0.7,15.1%,76.0%,8.9%,94.5
7,Marshal,0.5,22.1%,73.2%,4.6%,93.8
8,Sheriff,0.5,24.7%,70.7%,4.6%,92.1
9,Ares,0.6,11.0%,73.0%,16.1%,89.1
10,Spectre,0.7,12.7%,75.9%,11.4%,86.8
11,Judge,0.7,11.6%,73.8%,14.6%,86.5
12,Stinger,0.6,15.3%,74.9%,9.8%,82.1
13,Ghost,0.8,20.6%,73.3%,6.1%,78.7
14,Bucky,0.5,13.9%,75.9%,10.2%,76.2
15,Classic,0.4,17.5%,74.9%,7.5%,66.6
16,Shorty,0.5,13.8%,74.5%,11.7%,65.7
17,Frenzy,0.6,15.8%,74.4%,9.8%,64.5
