,Weapon Name,Kills Per Match,Headshot,Bodyshot,Legshot,Damage Per Round
0,Operator,0.9,9.5%,86.5%,4.1%,130.7
1,Vandal,0.8,25.4%,69.4%,5.1%,128
2,Outlaw,0.7,13.0%,83.0%,4.0%,127.9
3,Phantom,0.8,21.8%,72.0%,6.2%,119.9
4,Guardian,0.7,29.8%,66.6%,3.6%,116.2
5,Odin,0.8,11.2%,74.3%,14.5%,105.7
6,Sheriff,0.5,31.5%,65.4%,3.1%,98.1
7,Marshal,0.5,24.6%,71.8%,3.6%,94.6
8,Bulldog,0.7,21.5%,72.3%,6.2%,93.9
9,Spectre,0.7,16.8%,74.7%,8.5%,83.8
10,Judge,0.6,12.7%,74.9%,12.4%,83.5
11,Ares,0.6,14.0%,73.6%,12.4%,82.3
12,Stinger,0.5,17.8%,74.8%,7.4%,81.7
13,Ghost,0.8,27.8%,68.3%,3.9%,79.3
14,Bucky,0.5,15.2%,76.9%,7.9%,73.7
15,Shorty,0.5,15.4%,75.4%,9.2%,69.8
16,Classic,0.4,24.1%,70.9%,5.0%,68.4
17,Frenzy,0.5,19.7%,72.9%,7.3%,63.1
